0.0026	0.633
0.0118	0.672
0.0198	0.679
0.0299	0.706
0.0399	0.718
0.0505	0.725
0.0666	0.734
0.0831	0.741
0.0992	0.745
0.116	0.75
0.141	0.755
0.158	0.756
0.176	0.758
0.195	0.758
0.215	0.758
0.239	0.758
0.254	0.758
0.276	0.759
0.301	0.759
0.32	0.756
0.344	0.756
0.364	0.754
0.383	0.752
0.407	0.747
0.43	0.745
0.449	0.741
0.47	0.738
0.486	0.734
0.502	0.731
0.523	0.727
0.546	0.719
0.57	0.713
0.593	0.707
0.617	0.698
0.639	0.69
0.662	0.682
0.682	0.672
0.689	0.665
0.713	0.657
0.722	0.645
0.735	0.636
0.749	0.625
0.762	0.615
0.778	0.603
0.791	0.592
0.802	0.58
0.814	0.568
0.824	0.557
0.834	0.543
0.845	0.528
0.855	0.511
0.867	0.492
0.876	0.473
0.887	0.45
0.897	0.426
0.904	0.403
0.911	0.381
0.919	0.358
0.925	0.33
0.931	0.308
0.936	0.281
0.942	0.254
0.946	0.23
0.954	0.205
0.959	0.179
0.963	0.151
0.966	0.127
0.969	0.102
0.972	0.0827
0.976	0.0643
0.981	0.0433
0.986	0.0263
0.99	0.0138
0.998	0.00263
